Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Maximo,Multifuktionstuch aus Fleece,Marineblau|Schwarz,OS|2,Kinder Multifunktionstuch von maximo|Fleece|Modell Olly|Loop|Vielseitig verwendbar|Made in Germany|55 x 43 cm |Farbe Schwarz|Artikelnummer 9539698,Hauptmaterial 1: 100% Polyester, Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,9.95,7.95
SANETTA,Pyjama-Oberteil mit Football-Print ,Hellgrau meliert,140|152|164|176,Teenager Pyjama-Oberteil von Sanetta|Reine Baumwolle|Lockerer Schnitt|Rundhalsausschnitt|Lange Ärmel |Kurze Knopfleiste |Football-Print |Meliert|Rückenlänge bei Größe 152: 53 cm|Ärmellänge bei Größe 152: 58 cm|Farbe Hellgrau meliert|Artikelnummer 9535559,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,35.95,19.95
Maximo,Multifunktionstuch aus Fleece,Hellgrau meliert,OS|2,Kinder Multifunktionstuch von maximo|Flauschiges Fleece|Modell Olly|Loop|Vielseitig verwendbar|Made in Germany|56 x 45 cm|Farbe Hellgrau meliert|Artikelnummer 9539703,Hauptmaterial 1: 100% Polyester, Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,9.95,7.95
G.O.L.,Fliege mit feiner Webstruktur,Dunkelblau|Schwarz|Graphit,OS|1,"Teenager Fliege von G.O.L.|Schimmerndes Material|Feine Webstruktur|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Breite: 11,5 cm|Farbe Graphit|Artikelnummer 9587545",Hauptmaterial 1: 100% Mikrofaser Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",12.95,12.95
Maximo,Multifuktionstuch aus Fleece,Marineblau|Schwarz,OS|2,Kinder Multifunktionstuch von maximo|Fleece|Modell Olly|Loop|Vielseitig verwendbar|Made in Germany|55 x 43 cm |Farbe Marineblau|Artikelnummer 9539696,Hauptmaterial 1: 100% Polyester, Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,9.95,7.95
G.O.L.,Fliege mit feiner Webstruktur,Dunkelblau|Schwarz|Graphit,OS|1,"Teenager Fliege von G.O.L.|Schimmerndes Material|Feine Webstruktur|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Breite: 11,5 cm|Farbe Dunkelblau|Artikelnummer 9587542",Hauptmaterial 1: 100% Mikrofaser Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",12.95,12.95
Maximo,Beanie mit Fleecefutter ,Pink,49|51|53|55,Kinder Beanie von maximo|Baumwoll-Elasthan-Mix|Jersey|Herzmuster|Abschluss und Futter aus Fleece|Farbe Pink|Artikelnummer 9539438,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan|Futter 1: 100% Polyester"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",17.95,12.95
G.O.L.,Ledergürtel mit strukturiertem Muster,Dunkelblau|Anthrazit|Dunkelbraun,65|70|75|80,"Teenager Ledergürtel von G.O.L.|Echtes Leder|Dornschließe|Strukturiertes Muster|Gürtelbreite: 3,5 cm|Farbe Anthrazit|Artikelnummer 9587509",Hauptmaterial 1: 100% Leder,,29.95,29.95
Maximo,Multifunktionstuch aus Fleece,Pink|Lindgrün,OS|2,Kinder Multifunktionstuch von maximo|Fleece|Offene Abschlüsse|Vielseitig verwendbar|Made in Germany|45 x 25 cm |Farbe Pink|Artikelnummer 9539381,Hauptmaterial 1: 100% Polyester, Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,9.95,6.95
SANETTA,"Slip mit Schleifen-Applikation
",Weiß,104|116|128,"Kinder Slip von Sanetta|Baumwoll-Elasthan-Mix|Schleifen-Applikation mit Blüte aus Ziersteinen|Verstärkte, elastische Abschlüsse|Oeko-Tex® Standard 100|Made in Europe|Farbe Weiß|Artikelnummer 9523088","Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
Maximo,Handschuhe aus Fleece,Marineblau|Schwarz,OS|2|3|3|4|4|5|5|6|6,Kinder Handschuhe von maximo|Fleece|Gerippte Bündchen|Eingesticktes Logo|Farbe Schwarz|Artikelnummer 9539742,Hauptmaterial 1: 100% Polyester, Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,10.95,7.95
SANETTA,Boxershorts aus reiner Bio-Baumwolle,Weiß|Dunkelblau,104|116|128,Kinderboxershorts von Sanetta|Reine Baumwolle (Bio)|Elastischer Bund|Teilungsnähte|Kleines Logo-Fähnchen|Farbe Dunkelblau|Artikelnummer 9433547,Hauptmaterial 1: 100% Baumwolle (Bio), Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
G.O.L.,Ledergürtel mit strukturiertem Muster,Dunkelblau|Anthrazit|Dunkelbraun,65|70|75|80,"Teenager Ledergürtel von G.O.L.|Echtes Leder|Dornschließe|Strukturiertes Muster|Gürtelbreite: 3,5 cm|Farbe Dunkelbraun|Artikelnummer 9587510",Hauptmaterial 1: 100% Leder,,29.95,29.95
SANETTA,Bustier mit Sternenmuster im Vintage Look,Weiß,140|152|164|176,Teenager Bustier von Sanetta |Baumwollmischung mit Stretch-Anteil |Elastischer Bund |Verstellbare Träger |Zierborte und Zierschleife am Ausschnitt|Sternenmuster im Vintage Look|Farbe Weiß|Artikelnummer 9522825,"Hauptmaterial 1: 72% Baumwolle, 20% Polyamid, 8% Elasthan", Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,11.95,11.95
Maximo,Strumpfhose mit Stretch-Anteil,Rosa meliert|Rot|Pink,56|62|68,Baby Strumpfhose von MaxiMo|Baumwoll-Mix mit Elasthan-Anteil|Körpernahe Passform|Feines Maschenbild|Oberer Teil feingerippt|Elastischer Bund|Farbe Pink|Artikelnummer 8914061,"Hauptmaterial 1: 80% Baumwolle, 18% Polyamid, 2% Elasthan", Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung| Schonwaschgang 40°,9.95,4.95
SANETTA,Pyjama-Oberteil mit Helm-Print und Message,Blau,140|152|164|176,"Teenager Pyjama-Oberteil von Sanetta|Reine Baumwolle|Reguläre Passform|Helm-Print mit Message|Gerippter Rundhalsausschnitt|Leicht verlängerte Rückseite|Rückenlänge bei Größe 152: 60,5 cm|Ärmellänge bei Größe 152: 57 cm|Farbe Blau|Artikelnummer 9523009",Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,19.95,9.95
Maximo,Handschuhe aus Fleece,Marineblau|Schwarz,OS|2|3|3|4|4|5|5|6|6,Kinder Handschuhe von maximo|Fleece|Gerippte Bündchen|Eingesticktes Logo|Farbe Marineblau|Artikelnummer 9539741,Hauptmaterial 1: 100% Polyester, Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,10.95,7.95
SANETTA,Boxershorts mit Comic-Print,Blau,140|152|164|176,Teenager Boxershorts von Sanetta|Reine Baumwolle|Elastischer Bund |Comic-Print|Geknöpfter Eingriff |Oeko-Tex® Standard 100|Farbe Blau|Artikelnummer 9522997,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Normalwaschgang 95°| Nicht bleichen| Mäßig heiß bügeln| Keine chemische Reinigung,14.95,7.95
SANETTA,Nachthemd mit Streifenmuster,Schwarz,140|152|164|176,"Teenager Nachthemd von Sanetta|Reine Baumwolle|Reguläre Passform|Streifenmuster und Message-Print|Überschnittene Schultern|Rückenlänge bei Größe 152: 82,5 cm|Farbe Schwarz|Artikelnummer 9522841",Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,29.95,29.95
SANETTA,Slip mit Streifenmuster und Katzendetails,Hellgrau meliert,92|104|116|128,Kinder Slip von Sanetta|Reine Baumwolle|Elastischer Bund|Zierborte an den Beinabschlüssen |Streifenmuster mit Katzendetails|Farbe Hellgrau meliert|Artikelnummer 9523083,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Keine chemische Reinigung,7.95,7.95
SANETTA,Slip mit elastischem Bund,Aqua Blau,92|104|116|128,"Kinderslip von Sanetta|Baumwoll-Elasthan-Mix|Breiter, elastischer Bund|Piraten-Print|Ökotex Standard 100|Trocknerbeständig|Farbe Aqua Blau|Artikelnummer 9433531","Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
SANETTA,Slip aus Baumwolle mit Streifenmuster,Hellgrau,92|116|128,Kinderslip von Sanetta|Reine Baumwolle|Streifenmuster|Elastischer Bund|Teilungsnähte|Kleines Logo-Fähnchen|Farbe Hellgrau|Artikelnummer 9433529,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
SANETTA,Boxershorts aus reiner Bio-Baumwolle,Weiß|Dunkelblau,104|116|128,Kinderboxershorts von Sanetta|Reine Baumwolle (Bio)|Elastischer Bund|Teilungsnähte|Kleines Logo-Fähnchen|Farbe Weiß|Artikelnummer 9433546,Hauptmaterial 1: 100% Baumwolle (Bio), Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
SANETTA,Slip aus Bio-Baumwolle,Dunkelblau,104|116|128,Kinderslip von Sanetta|Reine Baumwolle (Bio)|Elastischer Bund|Teilungsnähte|Kleines Logo-Fähnchen|Farbe Dunkelblau|Artikelnummer 9433548,Hauptmaterial 1: 100% Baumwolle (Bio), Schonwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,7.95,7.95
SANETTA,Panty mit elastischem Bündchen,Weiß|Schwarz,116|128|164,Teenagerpanty von Sanetta|Baumwoll-Elasthan-Mix|Figurbetonte Passform|Elastisches Bündchen|Farbe Weiß|Artikelnummer 9432246,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
SANETTA,Unterhemd mit Reh-Print ,Weiß,104|116|128,Kinder Unterhemd von Sanetta|Baumwoll-Elasthan-Mix|Rundhalsausschnitt|Reh-Print mit Ziersteinbesatz und Message|Oeko-Tex® Standard 100|Made in Europe|Rückenlänge bei Größe 116: 44 cm|Farbe Weiß|Artikelnummer 9523087,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan",,19.95,19.95
SANETTA,Slip mit Blumenmuster,Weiß,92|104|116|128|140,Kinder Slip von Sanetta|Reine Baumwolle |Elastischer Bund|Zierschleife am Bund |Blumenmuster|Farbe Weiß|Artikelnummer 9523074,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
SANETTA,Unterhemd mit floralem Muster,Weiß,92|104|116|128|140,Kinder Unterhemd von Sanetta|Reine Baumwolle|Rundhalsausschnitt mit Zierschleife |Ärmellos |Florales Muster|Rückenlänge bei Größe 116: 42 cm|Farbe Weiß|Artikelnummer 9523073,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
SANETTA,Pyjama mit Reh-Print,Weiß,92|98|104|116|128,Kinder Pyjama von Sanetta|Reine Baumwolle |Rundhalsausschnitt|Lange Ärmel|Kleines Schößchen|Elastischer Hosenbund|Gerades Bein |Reh-Print mit Ziersteinbesatz und Message|Hose mit floralem Muster|Rückenlänge bei Größe 116: 44 cm|Ärmellänge bei Größe 116: 44 cm|Innenbeinlänge bei Größe 116: 52 cm|Farbe Weiß|Artikelnummer 9523086,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,39.95,39.95
SANETTA,Slip mit Zierschleife und Streifenmuster,Hellblau,92|116,Kinderslip von Sanetta|Baumwollmischung mit Stretch-Anteil |Elastischer Bund mit Zierschleife|Verstärkte Inside-Out-Nähte|Feines Streifenmuster|Farbe Hellblau|Artikelnummer 9433256,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
SANETTA,Trunks aus Baumwolle mit Stretch-Anteil,Schwarz|Weiß,128|152,Teenagertrunks von Sanetta|Baumwoll-Elasthan-Mix|Körpernahe Passform|Elastischer Bund mit eingearbeitetem Logo|Teilungsnähte|Farbe Weiß|Artikelnummer 9433225,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
SANETTA,Trunks aus Baumwolle mit Stretch-Anteil,Schwarz|Weiß,128|140|152|164,Teenagertrunks von Sanetta|Baumwoll-Elasthan-Mix|Körpernahe Passform|Elastischer Bund mit eingearbeitetem Logo|Teilungsnähte|Farbe Schwarz|Artikelnummer 9433224,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
SANETTA,Boxershorts mit Vichy Karo,Marineblau|Rot,140|152|164|176,Teenager Boxershorts von Sanetta|Reine Baumwolle|Vichy Karo|Elastischer Bund mit Logo-Aufnäher|Verdeckter Eingriff mit Knopfverschluss|Farbe Rot|Artikelnummer 9568552,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,12.95,12.95
G.O.L.,Gürtel aus Leder,Hellgrau,65|70|75|80,Kinder Gürtel von G.O.L.|Echtes Leder|Abschließende Nähte|Dornschließe|Gürtelbreite: 3 cm |Farbe Hellgrau|Artikelnummer 9587506,Hauptmaterial 1: 100% Leder,,24.95,24.95
SANETTA,Boxershorts mit Vichy Karo,Marineblau|Rot,140|152,Teenager Boxershorts von Sanetta|Reine Baumwolle|Vichy Karo|Elastischer Bund mit Logo-Aufnäher|Verdeckter Eingriff mit Knopfverschluss|Farbe Marineblau|Artikelnummer 9568551,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,12.95,12.95
G.O.L.,Fliege mit feiner Webstruktur,Dunkelblau|Schwarz|Graphit,OS|1|OS|2,"Teenager Fliege von G.O.L.|Schimmerndes Material|Feine Webstruktur|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Breite: 11,5 cm|Farbe Schwarz|Artikelnummer 9587544",Hauptmaterial 1: 100% Mikrofaser Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",12.95,12.95
SANETTA,BH mit verstellbaren Trägern,Weiß|Schwarz,140|152,Teenager-BH von Sanetta|Baumwollmischung|Verstellbare Träger|Verstellbarer Hakenverschluss|Leicht wattierte Cups|Metall-Logo|Farbe Weiß|Artikelnummer 9432250,"Hauptmaterial 1: 46% Baumwolle, 46% Modal, 8% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Keine chemische Reinigung,19.95,19.95
G.O.L.,Fliege und Einstecktuch im Set,Marineblau|Dunkelrot,OS|1|164|164,Teenager Fliege und Einstecktuch von G.O.L.|Schimmerndes Material|Webmuster|Fliege in klassischer Form|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Einstecktuch mit verstärkten Abschlüssen|Breite der Fliege: 11 cm|Maße des Einstecktuchs: 20 x 20 cm|Farbe Dunkelrot|Artikelnummer 9587560,Hauptmaterial 1: 100% Mikrofaser Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,19.95
SANETTA,Slip mit Streifenmuster,Dunkelblau,92|104,"Kinderslip von Sanetta|Reine Baumwolle (Bio)|Breiter, elastischer Bund|Gerippte Abschlüsse|Streifenmuster|Trocknerbeständig|Ökotex Standard 100 |Farbe Dunkelblau|Artikelnummer 9433541",Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,7.95,7.95
G.O.L.,Fliege und Einstecktuch im Set,Marineblau|Dunkelrot,OS|1|164|164,Teenager Fliege und Einstecktuch von G.O.L.|Schimmerndes Material|Webmuster|Fliege in klassischer Form|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Einstecktuch mit verstärkten Abschlüssen|Breite der Fliege: 11 cm|Maße des Einstecktuchs: 20 x 20 cm|Farbe Marineblau|Artikelnummer 9587559,Hauptmaterial 1: 100% Mikrofaser Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,19.95
SANETTA,Boxershorts aus Baumwolle - kariert,Marineblau|Rot,140|164,Teenager Boxershorts von Sanetta|Reine Baumwolle|Vichy Karo|Elastischer Bund|Verdeckter Eingriff mit Knopfverschluss|Farbe Marineblau|Artikelnummer 9433212,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,12.95,12.95
G.O.L.,Ledergürtel mit strukturiertem Muster,Dunkelblau|Anthrazit|Dunkelbraun,65|70|75|80,"Teenager Ledergürtel von G.O.L.|Echtes Leder|Dornschließe|Strukturiertes Muster|Gürtelbreite: 3,5 cm|Farbe Anthrazit|Artikelnummer 9587509",Hauptmaterial 1: 100% Leder,,29.95,29.95
