Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Kennel & Schmenger,Sneaker aus echtem Leder,Weiß,"37,5|4,5|38|5|38,5|5,5|39|6|40|6,5|40,5|7|41|7,5",Damen Sneaker von Kennel & Schmenger|Echtes Leder|Abgerundete Spitze|Schnürverschluss|Plateausohle aus Gummi|Ziersteinbesatz an der Zunge|Schnürsenkel aus Samt|Sohlenhöhe: 4 cm|Farbe Weiß|Artikelnummer 9709825,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,219.0,219.0
Reebok,Sneaker mit Glitter-Effekt,Silber,"36|6|37|6,5|37,5|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10|42|10,5","Damen Sneaker von Reebok|Strapazierfähiges Material|Glitter-Effekt|Abgerundete Spitze|Schnürverschluss|Perforierungen|Logo-Stickereien|Profilsohle aus Gummi|Sohlenhöhe: 2,5 cm|Farbe Silber|Artikelnummer 9624414",Sohle: 100% Gummi,,99.95,99.95
s.Oliver RED LABEL,Chelsea Boots aus Leder ,Beige,36|37|38|39|40|41|42,Damen Chelsea Boots von s.Oliver|Echtes Leder|Überknöchelhoher Schaft|Elastische Einsätze mit Streifenmuster|Florales Muster in Metallicoptik|Gummisohle|Sohlenhöhe: 2 cm|Farbe Beige|Artikelnummer 9634814,Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,69.95,69.95
Pedro Miralles,Stiefelette aus echtem Veloursleder,Taupe,36|37|38|39|40|41|42,Damen Stiefelette von Pedro Miralles|Modell Ante Seal|Echtes Veloursleder|Überknöchelhoher Schaft|Reißverschluss|Innen liegende Plateausohle|Absatz|Sohlenhöhe: 3 cm|Absatzhöhe: 9 cm|Farbe Taupe|Artikelnummer 9533439,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,169.95,99.95
Reebok,Sneaker aus Veloursleder,Flieder,"36|6|37|6,5|37,5|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10",Damen Sneaker von Reebok|Modell Classic Nylon Slim Architect|Echtes Veloursleder|Einsätze aus Mesh|Logo-Streifen|Waffelstruktur|Schnürverschluss|Gummisohle|Sohlenhöhe: 2 cm|Farbe Flieder|Artikelnummer 9624413,"Hauptmaterial 1: 50% Leder, 50% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi",,69.95,69.95
UGG,Boots aus echtem Veloursleder - wasserabweisend,Mittelbraun|Schwarz,36|5|37|6|38|7|39|8|40|9|41|10,"Damen Boots von UGG Australia|Modell W Abree|Echtes Veloursleder|Wasserabweisend|Wadenhoher Schaft|Seitlicher Reißverschluss|Logo-Aufnäher an der Ferse|Gummisohle|Futter aus Lammfell|Sohlenhöhe: 2,5 cm|Schafthöhe: 22 cm|Schaftweite: 30 cm|Farbe Schwarz|Artikelnummer 9522640",Hauptmaterial 1: 100% Leder|Futter 1: 100% Lammfell|Sohle: 100% Gummi,,249.0,249.0
Pretty Ballerinas,Mokassins aus echtem Veloursleder,Sand|Dunkelblau,"37|37,5|38|38,5|39|39,5|40|40,5|41|42","Damen Mokassins von Pretty Ballerinas|Echtes Veloursleder|Modell Josephine|Mokassinnaht|Zierquasten|Innensohle aus echtem Leder|Flache Gummisohle|Sohlenhöhe: 0,5 cm|Farbe Sand|Artikelnummer 9635482",Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,149.95,149.95
P448,Sneaker aus Veloursleder mit Kontrasteinsatz,Gold|Silber,37|38|39|40|41|42,Damen Sneaker von P448|Echtes Veloursleder|Schimmernder Kontrasteinsatz in Schlangenlederoptik|Perforierte Details|Abgerundete Spitze|Schnürverschluss|Logo-Applikationen|Profilsohle aus Gummi|Sohlenhöhe: 2 cm|Farbe Gold|Artikelnummer 9624822,Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,189.95,189.95
Pretty Ballerinas,Mokassins aus echtem Veloursleder,Sand|Dunkelblau,"37|37,5|38|38,5|39|39,5|40|40,5|41|42","Damen Mokassins von Pretty Ballerinas|Echtes Veloursleder|Modell Josephine|Mokassinnaht|Zierquasten|Innensohle aus echtem Leder|Flache Gummisohle|Sohlenhöhe: 0,5 cm|Farbe Dunkelblau|Artikelnummer 9635483",Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,149.95,149.95
adidas Originals,Sneaker 'Superstar' aus Leder,Schwarz,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,Damen Sneaker von adidas Originals|Modell Superstar|Echtes Leder|Logo-Streifen|Kontrastbesatz mit Logo im Fersenbereich|Zehenkappe aus Metall|Schnürverschluss|Gummisohle |Sohlenhöhe: 2 cm|Farbe Schwarz|Artikelnummer 9584747,Hauptmaterial 1: 100% Leder|Futter 1: 100% Synthetik|Futter 2: 100% Textil|Sohle: 100% Gummi,,119.95,119.95
ILC,Espadrilles aus Leder ,Beige|Taupe|Rosa,36|37|38|39|40|41|42,"Damen Espadrilles von ILC|Echtes Leder|Abgerundete Spitze in Metallicoptik|Gummisohle mit Besatz in Flechtoptik|Handmade in Spain|Sohlenhöhe: 1,5 cm|Farbe Rosa|Artikelnummer 9648370",Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Futter 2: 100% Textil|Sohle: 100% Gummi,,59.95,59.95
Tommy Hilfiger,Espadrilles mit Stickerei,Bleu,36|37|38|39|40|41,"Damen Espadrilles von Tommy Hilfiger|Fein strukturiertes Material |Ziernähte|Logo-Applikation an der Ferse|Stickerei|Gummisohle mit geflochtenem Besatz|Absatzhöhe: 2,5 cm|Farbe Bleu|Artikelnummer 9552753",Hauptmaterial 1: 100% Textil|Sohle: 100% Gummi,,69.95,69.95
Converse,Sneaker 'All Star' aus Leder in Metallicoptik,Rosé,"36|5,5|36,5|6|37|6,5|37,5|7|38|7,5|39|8|40|8,5|40,5|9|41|9,5","Damen Sneaker von Converse|Modell All Star|Echtes Leder in Metallicoptik|Reptilienstruktur|Abgerundete Spitze|Schnürverschluss|Logo-Applikationen|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Rosé|Artikelnummer 9622354",Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,89.95,89.95
Lauren Ralph Lauren,Sneaker aus Veloursleder,Hellgrau|Rosé,"36|5,5|37|6,5|38|7|39|8|40|8,5|41|9,5","Damen Sneaker von Lauren Ralph Lauren|Echtes Veloursleder|Kontrasteinsätze aus Mesh und Gummi|Abgerundete Spitze|Schnürverschluss|Logo-Applikation|Profilsohle aus Gummi|Sohlenhöhe: 2,5 cm|Farbe Hellgrau|Artikelnummer 9578778",Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Hauptmaterial 3: 100% Gummi|Sohle: 100% Gummi,,99.95,99.95
ALPE,Loafer aus Veloursleder mit Shoe Flaps,Mittelgrau meliert,36|37|38|39|40,Damen Loafer von ALPE|Echtes Veloursleder|Vorne spitz zulaufend|Shoe Flaps mit Glitter-Effekt und Zierschleife|Elastischer Einsatz an der Ferse|Gummisohle|Sohlenhöhe: 2 cm|Farbe Mittelgrau meliert|Artikelnummer 9636961,Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,99.95,99.95
Tommy Hilfiger,Wedges aus Canvas mit Lederdetails,Weiß|Dunkelblau,36|37|38|39|40|41,Damen Wedges von Tommy Hilfiger|Canvas mit Details aus Leder|Abgerundete Spitze|Schleifenförmiger Riemen mit Logo-Stickerei|Riemenverschluss|Keilabsatz|Gummisohle mit Besatz in Flechtoptik|Absatzhöhe: 6 cm|Farbe Dunkelblau|Artikelnummer 9591644,Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Leder|Sohle: 100% Gummi,,84.95,84.95
Hilfiger Denim,Ballerinas in Metallicoptik,Silber|Rosé,36|37|38|39|40|41|42,Damen Ballerinas von Hilfiger Denim|Lederoptik|Metallicoptik|Abgerundete Spitze|Zierschleife|Logo-Stickerei|Innensohle aus Baumwolle|Flache Gummisohle|Sohlenhöhe: 1 cm|Farbe Rosé|Artikelnummer 9611080,Hauptmaterial 1: 100% Polyurethan|Futter 1: 100% Baumwolle|Sohle: 100% Gummi,,69.95,69.95
Tommy Hilfiger,Wedges aus Canvas mit Peeptoe,Dunkelblau|Rot|Weiß,36|37|38|39|40|41,Damen Wedges von Tommy Hilfiger|Canvas mit Details aus Leder|Peeptoe|Logo-Stickerei|Riemenverschluss|Keilabsatz mit Besatz in Flechtoptik|Zickzack-Muster |Absatzhöhe: 7 cm|Farbe Weiß|Artikelnummer 9591649,Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Leder|Sohle: 100% Gummi,,79.95,79.95
BRUNO PREMI,Sandalette aus Veloursleder ,Schwarz,36|37|38|39|40|41|42,"Damen Sandalette von Bruno Premi|Echtes Veloursleder|Riemen|Zwei Riemenverschlüsse|Blockabsatz|Absatzhöhe: 6,5 cm|Farbe Schwarz|Artikelnummer 9635471",Hauptmaterial 1: 100% Veloursleder|Futter 1: 100% Leder|Sohle: 100% Gummi,,129.95,129.95
Tommy Hilfiger,Wedges aus Canvas mit Lederdetails,Weiß|Dunkelblau,36|37|38|39|40|41,Damen Wedges von Tommy Hilfiger|Canvas mit Details aus Leder|Abgerundete Spitze|Schleifenförmiger Riemen mit Logo-Stickerei|Riemenverschluss|Keilabsatz|Gummisohle mit Besatz in Flechtoptik|Absatzhöhe: 6 cm|Farbe Weiß|Artikelnummer 9591643,Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Leder|Sohle: 100% Gummi,,84.95,84.95
Buffalo,Ballerinas aus Leder in Metallicoptik,Silber,36|37|38|39|40|41,Damen Ballerinas von Buffalo|Echtes Leder in Metallicoptik|Abgerundete Spitze|Zierschleife|Gummisohle|Sohlenhöhe: 1 cm|Farbe Silber|Artikelnummer 9624749,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,69.95,69.95
MICHAEL Michael Kors,Mokassins aus Veloursleder mit Zierschleife,Mittelbraun|Hellgrau|Orange|Rosé|Taupe,"36|6|37|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10",Damen Mokassins von MICHAEL Michael Kors|Modell Sutton Moc|Echtes Veloursleder|Abgerundete Spitze |Mokassinnaht|Zierschleife mit Logo-Applikation in Goldoptik|Flache Gummisohle|Sohlenhöhe: 1 cm|Farbe Rosé|Artikelnummer 9612815,Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,129.95,129.95
Selected Femme,Stiefeletten aus Glattleder mit elastischem Schaft,Schwarz,36|37|38|39|40|41,"Damen Stiefelette von Selected Femme|Glattleder und Textil|Modell SFLondon Leather Boot|Abgerundete Spitze|Mittelhoher Schaft|Elastische Einsätze am Schaft|Lasche am Schaft|Niedriger Absatz|Sohlenhöhe: 0,2 cm|Absatzhöhe: 4,5 cm|Schafthöhe 13 cm|Schaftweite: 10 cm|Farbe Schwarz|Artikelnummer 9554855",Hauptmaterial 1: 100% Rindsleder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Leder|Futter 2: 100% Textil|Sohle: 100% Synthetik,,139.95,99.95
Superga,Sneaker mit Glitter-Effekt,Silber|Metallic Schwarz|Kupfer,36|37|38|39|40|41|42,"Damen Sneaker von Superga|Textil|Gummisohle|Abgerundete Spitze|Schnürverschluss|Glitter-Effekt|Sohlenhöhe: 2,5 cm|Farbe Silber|Artikelnummer 9613079","Hauptmaterial 1: 70% Polyester, 30% Baumwolle|Futter 1: 100% Baumwolle|Sohle: 100% Gummi",,84.95,84.95
Rainbow,Brautschuhe aus Satin mit floralen Applikationen,Beige,"36|3|37|4|37,5|4,5|38|5|38,5|5,5|39|6|39,5|6,5|40|7|40,5|7,5|41|8","Damen Brautschuhe von Rainbow|Modell Mirabelle|Satin|Riemen mit floralen Applikationen|Verstellbarer Fesselriemen|Kitten Heel|Absatzhöhe: 6,5 cm|Farbe Beige|Artikelnummer 9645072",Hauptmaterial 1: 100% Textil|Sohle: 100% Gummi,,149.95,149.95
Reebok,Sneaker aus Leder,Weiß,"36|6|37|6,5|37,5|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10|42|10,5",Damen Sneaker von Reebok|Echtes Leder|Ziernähte|Glitter-Effekt im Fersenbereich|Schnürverschluss|Gummisohle|Sohlenhöhe: 2 cm|Farbe Weiß|Artikelnummer 9624416,Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,89.95,89.95
Högl,Pumps aus Leder mit Applikation,Rosé,"36|3,5|37|4|37,5|4,5|38|5|39|5,5|39,5|6|40|6,5|41|7|41,5|7,5|42|8","Damen Pumps von Högl|Echtes Leder|Abgerundete Spitze|Applikation in Goldoptik|Blockabsatz|Gummisohle|Absatzhöhe: 6,5 cm|Wir empfehlen den Schuh eine 1/2 Nummer größer zu bestellen |Farbe Rosé|Artikelnummer 9637344",Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,129.95,129.95
Selected Femme,Lederboots im Vintage Look,Schwarz|Cognac ,36|37|38|39|40|41,Damen Lederboots von SELECTED FEMME|Modell SF Bibi|Echtes Leder im Vintage Look|Vorne spitz zulaufend |Überknöchelhoher Schaft|Seitlicher Kontrasteinsatz in Flechtoptik|Reißverschlüsse an der Innenseite |Kleiner Blockabsatz|Absatzhöhe: 4 cm|Farbe Schwarz|Artikelnummer 9554853,"Hauptmaterial 1: 100% Leder|Sohle: 100% Leder, 100% Synthetik",,169.95,99.95
Hilfiger Denim,Booties aus Veloursleder,Cognac ,36|37|38|39|40|41|42,Damen Booties von Hilfiger Denim|Echtes Veloursleder|Überknöchelhoher Schaft|Perforiertes Muster|Sohle mit Besatz aus Gummi|Sohlenhöhe: 2 cm|Farbe Cognac |Artikelnummer 9582197,"Hauptmaterial 1: 100% Leder|Futter 1: 100% Synthetik|Sohle: 80% Synthetik, 20% Gummi",,139.95,139.95
adidas Originals,Adiletten mit Logo-Streifen,Schwarz,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8,Damen Adiletten von adidas Originals|Modell Adilette|Gummi|Strukturierter Riemen mit Logo-Streifen|Profilsohle|Sohlenhöhe: 1 cm |Farbe Schwarz|Artikelnummer 9584740,Hauptmaterial 1: 100% Gummi,,34.95,34.95
Pretty Ballerinas,Ballerinas aus echtem Veloursleder,Beige|Koralle|Mittelgrau,"37|37,5|38|38,5|39|39,5|40|40,5|41|42",Damen Ballerinas von Pretty Ballerinas|Echtes Veloursleder|Modell Rosario|Zierschleife|Innensohle aus echtem Leder|Flache Gummisohle|Sohlenhöhe: 1 cm|Farbe Mittelgrau|Artikelnummer 9653774,Hauptmaterial 1: 100% Leder,,129.95,129.95
Högl,Pumps aus Lackleder ,Beige,"36|3,5|37|4|37,5|4,5|38|5|39|5,5|39,5|6|40|6,5|41|7|41,5|7,5|42|8","Damen Pumps von Högl|Echtes Lackleder|Vorne spitz zulaufend|Gummisohle|Niedriger Pfennigabsatz|Absatzhöhe: 6,5 cm|Wir empfehlen den Schuh 1/2 Nummer größer zu bestellen|Farbe Beige|Artikelnummer 9637337",Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,109.95,109.95
s.Oliver RED LABEL,Lederschuhe mit Flügelkappe in Metallicoptik,Rosé,36|37|38|39|40|41|42,"Damen Lederschuhe von s.Oliver|Echtes Leder|Glitter-Effekt|Flügelkappe in Metallicoptik|Lyralochung|Schnürverschluss|Soft Foam Innensohle|Gummisohle mit Besatz aus Kork|Sohlenhöhe: 2,5 cm|Farbe Rosé|Artikelnummer 9634799",Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Futter 2: 100% Leder|Besatz 1: 100% Kork|Sohle: 100% Gummi,,69.95,69.95
DKNY,Slip-On Sneaker mit echtem Leder,Schwarz|Pseudo,"36|6|37|6,5|37,5|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10","Damen Slip-On Sneaker von DKNY|Mesh|Modell Trey|Hinterer Teil aus echtem Leder|Spitz zulaufende Form|Elastische Einsätze|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9471219","Hauptmaterial 1: 50% Textil, 50% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi",,175.95,99.95
DKNY,Slip-On Sneaker mit echtem Leder,Schwarz|Pseudo,"36|6|37|6,5|37,5|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10","Damen Slip-On Sneaker von DKNY|Mesh|Modell Trey|Hinterer Teil aus echtem Leder|Spitz zulaufende Form|Elastische Einsätze|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9471219","Hauptmaterial 1: 50% Textil, 50% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi",,175.95,99.95
Guess,Wedges mit floralen Stickereien,Jeans,36|37|38|39|40|41,"Damen Wedges von GUESS|Strapazierfähiges Material|Lederoptik|Verstellbarer Riemenverschluss|Riemen in Denimoptik|Abgerundete Spitze|Plateausohle|Blockabsatz|Gummisohle|Florale Stickereien|Sohlenhöhe: 5,5 cm|Absatzhöhe: 12 cm|Farbe Jeans|Artikelnummer 9630039",,,145.95,145.95
Buffalo,Pumps aus echtem Lackleder,Beige,36|37|38|39|40|41,Damen Pumps von Buffalo|Echtes Lackleder|Gummisohle|Laufsohle aus Leder|Pfennigabsatz|Vorne spitz zulaufend|Made in Spain|Absatzhöhe: 10 cm|Farbe Beige|Artikelnummer 9624745,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,99.95,99.95
ALPE,Loafer aus Leder in Metallicoptik,Silber,36|37|38|39|40|41,Damen Loafer von Alpe|Echtes Leder|Metallicoptik|Zierriemen mit Zierquasten|Innensohle aus Leder|Sohle aus Kork und Gummi|Sohlenhöhe: 2 cm|Farbe Silber|Artikelnummer 9636965,"Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 50% Kork, 50% Gummi",,119.95,119.95
Tamaris,Sneaker mit strukturiertem Muster,Weiß|Rosé,36|37|38|39|40|41|42,Damen Sneaker von Tamaris|Lederoptik|Strukturiertes Muster|Besatz in Schlangenlederoptik|Metallic-Details|Schnürverschluss|Gummisohle|Sohlenhöhe: 3 cm|Farbe Rosé|Artikelnummer 9634202,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,49.95,49.95
MICHAEL Michael Kors,Sneaker aus Leder mit Plateausohle,Weiß,"37|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10","Damen Sneaker von MICHAEL Michael Kors|Modell Poppy |Echtes Leder|Abgerundete Spitze |Plateausohle aus Gummi|Schnürverschluss mit Logo-Applikation|Perforierte Details an den Seiten|Sohlenhöhe: 3,5 cm|Farbe Weiß|Artikelnummer 9582381",Hauptmaterial 1: 100% Leder|Sohle: 100% Gummi,,149.95,149.95
Tamaris,Slip-On Sneaker in Metallicoptik,Silber,36|37|38|39|40|41|42,Damen Slip-On Sneaker von Tamaris|Metallicoptik|Shoe Flap mit Zierquaste|Elastischer Riemen|Profilsohle aus Gummi|Sohlenhöhe: 3 cm|Farbe Silber|Artikelnummer 9541439,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Futter 2: 100% Textil|Sohle: 100% Gummi,,69.95,39.95
