Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Review for Kids,Jeanslatzhose mit floralen Prints,Jeans,98|104|110|116|122|128|134|140,"Kinder Jeanslatzhose von REVIEW for Kids|Baumwoll-Elasthan-Mix|Stone Washed Look|Kurzer Schnitt|Verstellbare Träger mit Hakenverschluss|Aufgesetzte Latztasche|Seitliche Knopfleisten|Zwei Eingrifftaschen, eine Münztasche|Zwei aufgesetzte Gesäßtaschen|Florale Prints|Label-Patch|Gesamtlänge bei Größe 116: 58 cm|Farbe Jeans|Artikelnummer 9590472","Hauptmaterial 1: 98% Baumwolle, 2% Elasthan", Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Keine chemische Reinigung,29.95,29.95
Review for Teens,Longsleeve mit Brusttasche und Rundhalsausschnitt,Hellgrau meliert|Weiß,140|152|164|176,Teenager Longsleeve von REVIEW for Teens|Reine Baumwolle|Gerader Schnitt|Rundhalsausschnitt mit gerolltem Abschluss|Aufgesetzte Brusttasche mit gerolltem Abschluss|Teilungsnaht auf der Rückseite|Rückenlänge bei Größe 152: 59 cm|Ärmellänge bei Größe 152: 58 cm|Farbe Weiß|Artikelnummer 9561499,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,12.95,9.95
G.O.L.,Slim Fit 5-Pocket-Hose mit Stretch-Anteil,Marineblau|Schwarz|Sand,140|146|152|158|164|170|176,Teenager 5-Pocket-Hose von G.O.L.|Baumwoll-Elasthan-Mix|Slim Fit |Regulierbarer Bund|Knopf- und Reißverschluss|Ziernieten an den Taschen |Ziernähte auf den Gesäßtaschen|Label-Patch |Innenbeinlänge bei Größe 152: 69 cm|Bundweite bei Größe 152: 58 cm |Farbe Sand|Artikelnummer 9587500,"Hauptmaterial 1: 97% Baumwolle, 3% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",39.95,39.95
Review for Teens,Sweatshorts mit Reißverschlusstaschen,Schwarz,140|152|164|176,Teenager Sweatshorts von REVIEW for Teens|Reine Baumwolle|Elastischer Bund mit Tunnelzug|Zwei Reißverschlusstaschen |Zierleiste am Gesäß|Bein mit fixiertem Umschlag|Melangeoptik |Farbe Schwarz|Artikelnummer 9640300,Hauptmaterial 1: 100% Baumwolle," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",25.95,25.95
Eisend,Kommunionskleid mit Blüten-Applikationen,Ecru,116|122|128|134|140|146|152,Kinder Kommunionskleid von Eisend Kids|Dezent schimmerndes Material |Taillierter Schnitt|Rundhalsausschnitt|Ärmellos|Reißverschluss auf der Rückseite |Taillenpasse mit floraler Applikation und Schnürung auf der Rückseite |Rockteil aus unterlegtem Organza|Florale Applikationen am Saum |Unterrock mit Tüllbesatz|Rückenlänge bei Größe 128: 82 cm|Farbe Ecru|Artikelnummer 9568420,Hauptmaterial 1: 100% Polyester," Spezialschonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",64.95,64.95
Review for Teens,Slim Fit 5-Pocket-Hose,Beige|Dunkelblau|Mittelgrau,140|146|152|158|164|170|176,Teenager 5-Pocket-Hose von REVIEW for Teens|Baumwoll-Elasthan-Mix|Slim Fit|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 152: 69 cm|Bundweite bei Größe 152: 69 cm|Farbe Dunkelblau|Artikelnummer 9633755,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",29.95,29.95
Review for Kids,Stone Washed Regular Fit Jeans,Jeans,92|98|104|110|116|122|128|134|140,Kinder 5-Pocket-Jeans von REVIEW for Kids|Baumwoll-Elasthan-Mix|Stone Washed|Regular Fit |Skinny Leg|Regulierbare Bundweite|Knopf- und Reißverschluss|Kontrastnähte |Innenbeinlänge bei Größe 116: 50 cm |Bundweite bei Größe 116: 54 cm |Farbe Jeans|Artikelnummer 9560953,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,19.95
Mayoral,Bolero mit Lochmuster,Dunkelblau|Rosa|Apricot|Offwhite,104|4|110|5|116|6|122|7|128|8|134|9,Kinder Bolero von Mayoral|Baumwollmischung mit Stretch-Anteil|Gerader Schnitt|Feinstrick|Rundhalsausschnitt|Knopfverschluss|Lochmuster an Ausschnitt und Saum|Made in Europe|Rückenlänge bei Größe 7: 21 cm|Ärmellänge bei Größe 7: 41 cm|Farbe Offwhite|Artikelnummer 9626058,"Hauptmaterial 1: 80% Baumwolle, 17% Polyamid, 3% Elasthan"," Normalwaschgang 30°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",24.95,24.95
Review for Kids,T-Shirt mit Stern aus Wende-Pailletten,Offwhite|Marineblau,104|116|128|140,"Kinder T-Shirt von REVIEW for Kids|Reine Baumwolle|Rundhalsausschnitt|Streifenmuster|Stern aus Wende-Pailletten|Rückenlänge bei Größe 116: 44,5 cm|Farbe Marineblau|Artikelnummer 9654154",Hauptmaterial 1: 100% Baumwolle," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",15.95,15.95
Review for Teens,Sweatpants mit Pailletten-Besatz,Schwarz,140|152|164|176,Teenager Sweatpants von REVIEW for Teens|Materialmischung mit Viskose-Anteil|Schmal zulaufendes Bein|Strickoptik|Elastischer Bund mit Tunnelzug samt Effektgarn|Eingrifftaschen|Eine Zierleiste am Gesäß|Seitlicher Pailletten-Besatz|Abgesetzte Beinabschlüsse|Melangeoptik|Innenbeinlänge bei Größe 152: 63 cm|Farbe Schwarz|Artikelnummer 9560941,"Hauptmaterial 1: 65% Polyester, 35% Viskose"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",25.95,19.95
Review for Kids,Sweatshirt mit Flockprint,Rot|Royalblau meliert|Mittelgrau meliert,92|104|116|128|140,"Kinder Sweatshirt von REVIEW for Kids|Baumwollmischung|Gerippter Rundhalsausschnitt|Flockprint|Raglanärmel|Inside-Out-Nähte|Rippenbündchen an Ärmeln und Saum|Rückenlänge bei Größe 116: 46,5 cm|Farbe Royalblau meliert|Artikelnummer 9560964","Hauptmaterial 1: 60% Baumwolle, 40% Polyester"," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",17.95,12.95
New Balance,Sneaker mit Klettverschluss,Mittelgrau,"21|5|22,5|6|23,5|7|25|8|26|9|27,5|10","Kinder Sneaker von New Balance|Veloursleder und Textil|Klettverschluss|Logo-Details|Gummisohle|Sohlenhöhe: 1,5 cm|Farbe Mittelgrau|Artikelnummer 9514283",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Veloursleder|Futter 1: 100% Textil|Sohle: 100% Gummi,,54.95,39.95
Review for Kids,Sweatjacke mit Kapuze,Mint meliert|Marineblau meliert|Neon Pink meliert|Hellgrau meliert,92|104|116|128|140,Kinder Sweatjacke von REVIEW for Kids|Baumwollmischung|Kapuze|Reißverschluss|Zwei Eingrifftaschen mit Zierborte|Angeraute Innenseite|Gerippte Bundabschlüsse|Melangeoptik|Rückenlänge bei Größe 116: 44 cm|Ärmellänge bei Größe 116: 42 cm|Farbe Marineblau meliert|Artikelnummer 9590480,"Hauptmaterial 1: 60% Baumwolle, 40% Polyester"," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",25.95,25.95
Review for Teens,T-Shirt mit Print,Schwarz|Weiß,140|152|164|176,Teenager T-Shirt von REVIEW for Teens|Reine Baumwolle|Gerader Schnitt|Gerippter Rundhalsausschnitt|Print|Seitliche Reißverschlüsse|Rückenlänge bei Größe 152: 62 cm|Farbe Weiß|Artikelnummer 9633783,Hauptmaterial 1: 100% Baumwolle," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",17.95,17.95
Review for Kids,Bolero aus Feinstrick,Offwhite,92|104|116|128|140,Kinder Bolero von REVIEW for Kids|Weiche Baumwollmischung|Feinstrick|Gerippter Rundhalsausschnitt|Knopfleiste |Gerippter Ärmel- und Saumabschluss|Eingearbeitetes Effektgarn an den Abschlüssen|Rückenlänge bei Größe 104: 26 cm |Ärmellänge bei Größe 104: 41 cm |Farbe Offwhite|Artikelnummer 9590476,"Hauptmaterial 1: 97% Baumwolle, 3% Polyester"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,14.95
United Colors of Benetton,Skinny Fit 5-Pocket-Hose,Marineblau|Grün|Sand|Rot,98|XXS|104|XS|116|S|128|M|140|L,Kinder 5-Pocket-Hose von United Colors of Benetton|Baumwollmischung mit Stretch-Anteil |Skinny Fit|Regulierbarer Bund|Knopf- und Reißverschluss|Größenübersetzung siehe Größentabelle|Innenbeinlänge bei Größe S: 52 cm |Bundweite bei Größe S: 60 cm|Farbe Marineblau|Artikelnummer 9570694,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Schonwaschgang 40°| Nicht bleichen| Trocknen mit normaler thermischer Beanspruchung| Mäßig heiß bügeln| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.| Hängend trocknen| Im Schatten trocknen",19.95,14.95
Review for Kids,Longsleeve mit Schmetterlings-Print,Offwhite|Pink|Jeans,92|104|116|128|140,Kinder Longsleeve von REVIEW for Kids|Reine Baumwolle|Modell Glitter Fly|Lockerer Schnitt|Rundhalsausschnitt|Schmetterlings-Print mit Glitter-Effekt|Rückenlänge bei Größe 116: 43 cm|Ärmellänge bei Größe 116: 42 cm|Farbe Jeans|Artikelnummer 9590492,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,7.95
Blue Effect,Slim Fit Jeans mit Skinny Leg,Dunkelblau|Mittelgrau|Marineblau,140|146|152|158|164|170|176,"Teenager 5-Pocket-Jeans von Blue Effect|Baumwollmischung mit Stretch-Anteil|Slim Fit|Skinny Leg|Stone Washed|Knopf- und Reißverschluss|Regulierbare Bundweite|Ziernähte auf den Gesäßtaschen|Label-Patch|Innenbeinlänge bei Größe 164: 76,5 cm|Bundweite bei Größe 164: 70 cm|Farbe Dunkelblau|Artikelnummer 5459020","Hauptmaterial 1: 80% Baumwolle, 18% Polyester, 2% Elasthan", Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Keine chemische Reinigung,39.95,39.95
