Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Fred Perry,Sporttasche mit Logo-Print,Marineblau,OS|1,Herren Sporttasche von Fred Perry|Lederoptik|Hauptfach mit Reißverschluss|Innenfach mit Reißverschluss|Außenfach mit Reißverschluss|Zwei Trageriemen|Ein abnehmbarer Schulterriemen|Logo-Print|Höhe: 25 cm|Breite: 43 cm|Tiefe: 25 cm|Riemenlänge: 52 cm|Farbe Marineblau|Artikelnummer 9556369,Hauptmaterial 1: 100% PVC|Futter 1: 100% Polyester|Besatz 1: 100% Baumwolle, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,79.95,79.95
adidas Originals,Strümpfe im 2er-Pack - meliert,Marineblau,39/42|43/46,Herren Strümpfe von adidas Originals|Baumwollmischung mit Stretch-Anteil|Modell Solid Crew Mela|Komfortbündchen mit Logo-Streifen|Eingearbeitetes Logo|Verstärkte Ferse und Spitze|2er-Pack|Farbe Marineblau|Artikelnummer 9569144,"Hauptmaterial 1: 61% Baumwolle, 21% Polyester, 16% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht bügeln| Keine chemische Reinigung,12.95,12.95
Tommy Hilfiger,Uhr aus Edelstahl mit Armband aus echtem Leder,Silber,OS|1,"Herren Uhr von Tommy Hilfiger|Edelstahl|Modell Casual Sport Automatic|Stunden, Minuten, Sekunden, Tachymeter|Armband aus echtem Leder|Dornschließe|Rückgabe nur mit Schutzfolie(n) möglich|Farbe Silber|Artikelnummer 9543691",Hauptmaterial 1: 100% Edelstahl|Hauptmaterial 2: 100% Leder,,249.0,249.0
Herschel,Rucksack mit gepolstertem Laptopfach,Schwarz|Bordeaux Rot,OS|1,"Herren Rucksack von Herschel|Strapazierfähiges Material|Modell Retreat|Überschlag mit Magnetverschluss|Hauptfach mit Tunnelzug|Gepolstertes Laptopfach mit Fleecefutter|Ein Steckfach mit Label-Patch außen|Trageschlaufe|Zwei gepolsterte, verstellbare Schulterriemen|Gepolsterter Rücken|Höhe: 47 cm|Breite: 32 cm|Tiefe: 14 cm|Volumen: 19,5 L|Farbe Schwarz|Artikelnummer 9587239",Hauptmaterial 1: 100% Polyester|Futter 1: 100% Polyester|Besatz 1: 100% PVC, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,89.95,89.95
J.Ploenes,Schal mit Tartanmuster,Silber|Beige,OS|1,Herren Schal von J.PLOENES|Weiches Material|Fransenabschluss|Tartanmuster|176 x 19 cm|Farbe Silber|Artikelnummer 9647223,Hauptmaterial 1: 100% Polyacryl," Handwäsche| Nicht bleichen| Kein Trockner| Nicht bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,9.95
Hilfiger Denim,Basecap mit Snapback und Logo-Stickerei,Weiß|Marineblau|Rot,OS,Damen Basecap von Hilfiger Denim|Reine Baumwolle|Verstärkte Front|Logo-Stickerei|Eingestickte Luftlöcher|Snapback|Farbe Weiß|Artikelnummer 9593010,Hauptmaterial 1: 100% Baumwolle, Handwäsche| Nicht bleichen| Nicht bügeln| Keine chemische Reinigung| Hängend trocknen| Im Schatten trocknen,29.95,29.95
Montego,Socken im 3er-Pack,Beige|Anthrazit|Schwarz|Marineblau,39/42|43/46,Herren Socken von Montego|Baumwoll-Mix mit Stretch-Anteil|Bund ohne Gummidruck|Verstärkte Ferse und Spitze|Druckfreie handgekettelte Spitze|3er-Pack|Farbe Marineblau|Artikelnummer 7974394,"Hauptmaterial 1: 80% Baumwolle, 17% Polyamid, 3% Elasthan", Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,7.95,7.95
Puma,Socken im 2er-Pack,Anthrazit meliert|Blau meliert,39/42|43/46,Herren Socken von PUMA|Materialmischung mit Baumwoll-Anteil|Gerippte Komfortbündchen|Eingewebtes Logo|Verstärkte Ferse und Spitze|Flache Zehennaht|2er-Pack|Farbe Blau meliert|Artikelnummer 9536505,"Hauptmaterial 1: 64% Polyester, 26% Baumwolle, 8% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,7.95,5.95
Montego,Krawatte und Einstecktuch im Set,Rot|Bleu|Blau|Marineblau|Grün|Fuchsia|Ecru|Bordeaux Rot,OS|1,Herren Krawatte und Einstecktuch von MONTEGO|Reine Seide|Krawatte in klassischer Form|Geriffelte Struktur|Einstecktuch mit verstärkten Abschlüssen|Breite der Krawatte: 7 cm|Maße des Einstecktuchs: 31 x 31 cm|Farbe Rot|Artikelnummer 9619646,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",29.95,29.95
Puma,Socken im 2er-Pack,Anthrazit meliert|Blau meliert,39/42|43/46,Herren Socken von PUMA|Materialmischung mit Baumwoll-Anteil|Gerippte Komfortbündchen|Eingewebtes Logo|Verstärkte Ferse und Spitze|Flache Zehennaht|2er-Pack|Farbe Anthrazit meliert|Artikelnummer 9536503,"Hauptmaterial 1: 64% Polyester, 26% Baumwolle, 8% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,7.95,5.95
Christian Berg Men,Wendegürtel mit Dornschließe,Schwarz,80|85|90|95|100|105|110|115,Herren Wendegürtel von Christian Berg Men|Robustes Material|Dornschließe|Eine Seite mit Saffiano-Struktur|Eine Seite mit feiner Narbung |Gürtelbreite: 3 cm |Farbe Schwarz|Artikelnummer 9576308,,,39.95,39.95
Puma,Sneakersocken mit eingewebtem Logo,Schwarz|Marineblau|Anthrazit,39/42|43/46,Herren Sneakersocken von Puma|Leichtes Material mit Baumwoll-Anteil |Eingewebtes Logo|Elastisches Bündchen|Flache Zehennaht|2er-Pack|Farbe Anthrazit|Artikelnummer 9465659,"Hauptmaterial 1: 67% Polyester, 27% Baumwolle, 4% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,4.95,4.95
K-RO ,Beanie mit gerolltem Abschluss,Anthrazit|Marineblau,OS|1,"Herren Beanie von K-RO|Weiches, wärmendes Material|Rippenstrick|Kleiner Logo-Aufnäher|Gerollter Abschluss|Farbe Anthrazit|Artikelnummer 9548538",Hauptmaterial 1: 100% Polyacryl," Handwäsche| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",15.95,4.95
Puma,Sportsocken im 3er-Pack,Schwarz|Weiß|Marineblau|Mittelgrau|Weiß,OS|00|35/38|35/38|39/42|39/42|43/46|43/46|47/49|47/49,Herren Sportsocken von Puma|Elastische Bündchen|Perfekte Passform|3er-Pack|Wadenlang|Logo-Stickerei|Farbe Schwarz|Artikelnummer 7267939,"Hauptmaterial 1: 70% Baumwolle, 27% Polyester, 3% Elasthan", Nicht bleichen| Kein Trockner| Normalwaschgang 40°| Nicht bügeln| Keine chemische Reinigung,7.95,7.95
Tiger Of Sweden,Krawatte aus reiner Seide,Mittelgrau|Grün|Blau|Schwarz|Rosa,OS|1,Herren Krawatte von Tiger of Sweden|Reine Seide|Klassische Form|Webstruktur|Made in Italy|Breite: 7 cm|Farbe Rosa|Artikelnummer 9593158,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",69.95,69.95
Boss,Strümpfe im 3er-Pack,Schwarz,39/42|43/46,Herren Strümpfe von Boss Black|Baumwoll-Mix|Wadenlang|Einfarbig|Ferse und Spitze verstärkt|3er-Pack|Mit Stretch-Anteil|Farbe Schwarz|Artikelnummer 4059825,,,19.95,19.95
Hugo,Ledergürtel mit Dornschließe - handgefertigt,Cognac |Marineblau,85|90|95|100|105|110,"Herren Gürtel von HUGO|Echtes Leder|Dornschließe aus Metall|Fixierte Gürtelschlaufe|Handgefertigt|Gürtelbreite: 3,5 cm|Farbe Marineblau|Artikelnummer 9557830",Hauptmaterial 1: 100% Leder,,69.95,69.95
Lloyd Men's Belts,Ledergürtel mit Dornschließe,Schwarz|Cognac ,85|90|95|100|105|110,Herren Ledergürtel von Lloyd Belts|Leder|Glattes Material|Dornschließe in Metallicoptik|Logo-Applikation|Farbe Schwarz|Artikelnummer 942359,,,29.95,29.95
Herschel,Kulturtasche mit Außenfach,Camel,OS|1,"Herren Kulturtasche von Herschel|Strapazierfähiges Material|Modell Chapter|Hauptfach mit Reißverschluss|Netzfach innen|Trageschlaufe|Außenfach mit Reißverschluss|Logo-Aufnäher|Höhe: 15 cm|Breite: 24 cm|Tiefe: 11,5 cm|Volumen: 5 Liter|Farbe Camel|Artikelnummer 9519588",Hauptmaterial 1: 100% Polyester|Futter 1: 100% Polyester, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,34.95,19.95
Tommy Hilfiger,Strickmütze mit Kaschmir-Anteil,Gelb,OS,Herren Strickmütze von Tommy Hilfiger|Baumwoll-Kaschmir-Mix (Pima-Baumwolle)|Fein gerippt|Breiter Umschlag|Logo-Stickerei|Farbe Gelb|Artikelnummer 9536649,"Hauptmaterial 1: 95% Pima Baumwolle, 5% Kaschmir|Besatz 1: 92% Pima Baumwolle, 4% Kaschmir, 3% Andere Fasern, 1% Elasthan"," Spezialschonwaschgang 30°| Nur Sauerstoffbleiche zulässig / keine Chlorbleiche| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Flach (liegend) trocknen| Im Schatten trocknen",29.95,19.95
Montego,Krawatte aus reiner Seide,Rot|Bleu|Jeans|Fuchsia|Taupe|Anthrazit|Schwarz,OS|1,Herren Krawatte von MONTEGO|Reine Seide|Klassische Form|Fein geriffelte Textur|Breite: 7 cm|Farbe Rot|Artikelnummer 9619862,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,19.95
Fraas,Schal mit Tartan-Karo,Camel|Mittelgrau,OS|30*18,Herren Schal von FRAAS|Reine Schurwolle|Leicht ausgefranste Abschlüsse|Fransen am Abschluss|Tartan-Karo|180 x 31 cm|Farbe Camel|Artikelnummer 9541897,Hauptmaterial 1: 100% Schurwolle," Nicht waschen| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",35.95,19.95
Marc O'Polo,Strickmütze aus Woll-Kaschmir-Mix,Mittelgrau meliert,OS|1,Herren Strickmütze von MARC O'POLO|Woll-Kaschmir-Mix|Rippenstrick |Optionaler Umschlag |Logo-Aufnäher aus Leder|Farbe Mittelgrau meliert|Artikelnummer 9561370,"Hauptmaterial 1: 90% Wolle, 10% Kaschmir"," Handwäsche| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",69.95,49.95
Boss,Krawatte mit Karomuster,Blau|Rosé,OS|1SIZE,"Herren Krawatte von BOSS|Reine Seide|Breite Form|Webmuster|Made in Italy|Breite: 7,5 cm|Farbe Rosé|Artikelnummer 9595171",Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",59.95,59.95
Tommy Hilfiger,Ledergürtel mit Logo-Applikation,Dunkelbraun|Schwarz|Cognac ,85|90|95|100|105|110,Herrengürtel von Tommy Hilfiger|Fein genarbtes Leder|Eckige Dornschließe|Gürtelschlaufe mit Logo-Applikation|Einfache Lochung|Schmal zulaufendes Gürtelende|Gürtelbreite: 4 cm|Farbe Cognac |Artikelnummer 952244,Hauptmaterial 1: 100% Leder,,39.95,39.95
Boss,Krawatte mit Webmuster,Blau|Bleu|Pink,OS|1SIZE,"Herren Krawatte von BOSS|Reine Seide|Breite Form|Webmuster|Made in Italy|Breite: 7,5 cm|Farbe Pink|Artikelnummer 9595198",Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",59.95,59.95
Hugo,Krawatte aus Seide mit Webstruktur,Schwarz|Rot,OS|1SIZE,Herren Krawatte von HUGO|Reine Seide|Klassische Form|Webstruktur|Made in Italy|Breite: 7 cm|Farbe Schwarz|Artikelnummer 9584481,Hauptmaterial 1: 100% Seide|Futter 1: 100% Polyester," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",49.95,49.95
Hugo,Mütze aus reinem Kaschmir,Anthrazit,OS|1SIZE,Herren Mütze von HUGO|Reiner Kaschmir|Modell Men-x 530|Blockstreifen|Kleines Metall-Logo|Farbe Anthrazit|Artikelnummer 9510849,Hauptmaterial 1: 100% Kaschmir," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",69.95,49.95
Tommy Hilfiger,Ledergürtel mit Ziernähten,Cognac ,85|90|95|100|105|110,Herren Gürtel von Tommy Hilfiger|Echtes Rindsleder|Modell TH Stitch Belt 3.0|Dornschließe mit Logo-Gravur|Ziernähte|Made in Italy|Gürtelbreite: 3 cm|Farbe Cognac |Artikelnummer 9553868,Hauptmaterial 1: 100% Rindsleder, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung| Hängend trocknen| Im Schatten trocknen,49.95,49.95
Puma,Sportsocken im 3er-Pack,Schwarz|Weiß|Marineblau|Mittelgrau|Weiß,39/42|43/46,Herren Sportsocken von Puma|Elastische Bündchen|Perfekte Passform|3er-Pack|Wadenlang|Logo-Stickerei|Farbe Mittelgrau|Artikelnummer 9027715,"Hauptmaterial 1: 70% Baumwolle, 27% Polyester, 3% Elasthan", Nicht bleichen| Kein Trockner| Normalwaschgang 40°| Nicht bügeln| Keine chemische Reinigung,7.95,7.95
Tommy Hilfiger,Ledergürtel mit Logo-Applikation,Dunkelbraun|Schwarz|Cognac ,85|90|95|100|105|110,Herrengürtel von Tommy Hilfiger|Fein genarbtes Leder|Eckige Dornschließe|Gürtelschlaufe mit Logo-Applikation|Einfache Lochung|Schmal zulaufendes Gürtelende|Gürtelbreite: 4 cm|Farbe Dunkelbraun|Artikelnummer 952242,Hauptmaterial 1: 100% Leder,,39.95,39.95
Calvin Klein,Strümpfe im 2er-Pack,Dunkelblau|Jeans,40/46,Herren Strümpfe von Calvin Klein|Weiches Material mit gekämmter Baumwolle|Geripptes Bündchen|Kleine Logo-Stickerei|Uni|Meliert|2er-Pack|Farbe Dunkelblau|Artikelnummer 9535706,"Hauptmaterial 1: 89% Gekämmte Baumwolle, 5% Polyamid, 5% Polyester, 1% Elasthan", Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,12.95,9.95
K-RO ,Beanie mit gerolltem Abschluss,Anthrazit|Marineblau,OS|1,"Herren Beanie von K-RO|Weiches, wärmendes Material|Rippenstrick|Kleiner Logo-Aufnäher|Gerollter Abschluss|Farbe Marineblau|Artikelnummer 9548539",Hauptmaterial 1: 100% Polyacryl," Handwäsche| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",15.95,4.95
Marc O'Polo,Strümpfe im 4er-Pack,Schwarz|Dunkelblau|Anthrazit meliert,39/42|43/46,"Herren Strümpfe von MARC O'POLO|Baumwollmischung mit Stretch-Anteil|Gerippte Komfortbündchen|Verstärkte Ferse|Kleines, eingewebtes Logo|4er-Pack|Farbe Schwarz|Artikelnummer 9674680","Hauptmaterial 1: 75% Baumwolle, 23% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,19.95,19.95
Falke,Strümpfe im 2er-Pack,Schwarz|Marineblau,OS|00|39/42|39/42|43/46|43/46,Herren Strümpfe von Falke|Baumwoll-Mix|2er-Pack|Hautfreundlich|Fersen- und Spitzenverstärkung|Farbe Schwarz|Artikelnummer 998506,"Hauptmaterial 1: 75% Baumwolle, 23% Polyamid, 2% Elasthan"," Kein Trockner| Normalwaschgang 40°| Nicht bügeln| Nicht bleichen| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",13.0,13.0
